,song,album,album_id,artists,track_number,disc_number
5787,Liebe braucht keine Worte,Liebe braucht keine Worte,6pRharZQJdbXBV65hIki4q,['Geschwister Hofmann'],4,1
5890,Thunderstorm Witch,Thunderstorm Witch,5EDoACFELmzq26yICBdNwI,['Walter Thompson III'],7,1
5906,Sunrise,The Sunrise EP,7GMlFxJjm1sY2AIczjf5zF,['Cause & Effect'],4,1
5972,With Every Intimate Breath,With Every Intimate Breath,0UZNIy0RlMuTDQZsRpFLwU,['Curtis Macdonald'],4,1
6054,Inhabit Our Praises,Inhabit Our Praises,5Zqi99SONutH9tyyYg7DBo,['Dawson Cowals'],4,1
6138,Not That Kind,Not That Kind,4lCN7JEjQdvWsxW39lZs4E,['Anastacia'],1,1
6164,At The Gates of Midian,Midian,2k7oEaylMRKyRJvhMwYh58,['Cradle Of Filth'],1,1
6178,Here and Somewhere Else,Here and Somewhere Else,6BOAm87ZIC9Pw19K06XVzU,['The Samples'],4,1
6241,Light House Rocket,Light House Rocket,10unJ5KxIraDE4aWCRJG4Q,['Sean Kelly'],5,1
6246,Light House Rocket - Reprise,Light House Rocket,10unJ5KxIraDE4aWCRJG4Q,['Sean Kelly'],10,1
6313,Emotional Rain,Emotional Rain,3eTj1IXAgFHlHXcOKuYjIh,['Lee Aaron'],8,1
6386,Ungod,Ungod,5M8HPEsd7f27k8X7gppRfv,['Stabbing Westward'],6,1
6472,Ready for the Victory - Radio Version,Victory,6ta5LA4TdzyIpmyjavqTWO,['Modern Talking'],1,1
6510,Bring It Back/Heavy Heart,Heavy Heart,7lbGfsnvjrp2KHtYUJQAkd,['Lvcky'],12,1
6660,Today Is The Day,Today Is The Day,7b8RvjyADVZRNQ8d9BEHer,['Lexy'],6,1
6759,looping I,looping I-VI (and other assorted love songs),4RNO3JYahXtCTIR4Bhi5hj,['Frank Bretschneider'],1,1
6960,Violence in the Snowy Fields,Violence in the Snowy Fields,3e0kZBMI3bjWj9H1QPpEe5,['Dolorean'],6,1
7083,What Am I?,What Am I?,3n8hJcDAHpcU1m2J2mU3yd,['June April'],3,1
7134,On the Dancefloor,On the Dancefloor,3m3HUJYJTmif3Ry2CerjXa,['DJ Roc'],10,1
7143,Small Deadly Space,A Small Deadly Space,0pMR8Y18PiGRlgG12tsdBM,"['Rob Halford', 'Fight']",6,1
7193,Paradise,Paradise,1JeUDgG8kEdUUlqa6Omgsr,['Kenny G'],2,1
7217,Brutality Of Terror,Brutality Of Terror,5OVLH78enddXRjJJC3m2W1,['I-remain'],1,1
7232,Top of the World,Top of the World,1h7DPQubQQlk6NvJHhS1NJ,['DJ Roc'],5,1
7249,At Dawn,At Dawn,6rBoR8YN4VvCfCSadNqdiX,['My Morning Jacket'],1,1
7289,Trouble,Trouble,2DQHgaOMVOs2OKLaksiMx9,['Ray LaMontagne'],1,1
7323,Forever Summer,Forever Summer,6HGFAQ6pGNCGVn01K4L4eH,['DJ Roc'],5,1
7382,The City,The City,4qyIzemkQ1iW4KhfsrUa7k,['DJ Roc'],2,1
7412,Made for More,Made for More,2r9zcFbE2xmANnkebxAB2n,['DJ Roc'],8,1
7502,Weather Systems,Weather Systems,6pbQBlmSlGExnIYuvSD7BI,['Andrew Bird'],7,1
